OBJECTID,Join_Count,TARGET_FID,Join_Count_1,TARGET_FID_1,ZELEV,BUFF_DIST,ORIG_FID,DATE,TIME,BOROUGH,ZIP_CODE,LATITUDE,LONGITUDE,LOCATION,ON_STREET_,CROSS_STRE,OFF_STREET,incidence,TRACTCE,BLKGRPCE,GEOID,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,GEOID_Data,Shape_Leng,Shape_Area_1,OBJECTID_12,GEOID_1,total_population,B00001m1,housing_units,B00002m1,OBJECTID_2,GEOID_12,house_income,B19001m1,B19001e2,B19001m2,B19001e3,B19001m3,B19001e4,B19001m4,B19001e5,B19001m5,B19001e6,B19001m6,B19001e7,B19001m7,B19001e8,B19001m8,B19001e9,B19001m9,B19001e10,B19001m10,B19001e11,B19001m11,B19001e12,B19001m12,B19001e13,B19001m13,B19001e14,B19001m14,B19001e15,B19001m15,B19001e16,B19001m16,B19001e17,B19001m17,SHAPE_Length,SHAPE_Area
464,0,464,1,464,2,15,464,,,,,,,,,,,,16400,1,3.60E+11,Block Group 1,G5030,S,797333,0,40.6081112,-74.0277291,15000US360470164001,0.054419351,8.48E-05,4085,15000US360470164001,93,-1,30,-1,4085,15000US360470164001,189,48,0,11,0,11,0,11,17,26,0,11,6,8,0,11,13,13,5,9,7,9,25,20,43,34,34,27,6,9,21,16,12,12,94.24777961,706.8583471
465,0,465,1,465,0,15,465,,,,,,,,,,,,3400,2,3.60E+11,Block Group 2,G5030,S,65610,0,40.6373893,-74.0338086,15000US360470034002,0.012365801,6.98E-06,3773,15000US360470034002,101,-1,44,-1,3773,15000US360470034002,539,94,57,38,9,14,81,72,19,18,21,23,6,11,18,28,33,52,30,32,5,9,40,60,62,38,28,31,33,38,56,42,41,33,94.24777961,706.8583471
466,0,466,1,466,0,15,466,,,,,,,,,,,,16400,1,3.60E+11,Block Group 1,G5030,S,797333,0,40.6081112,-74.0277291,15000US360470164001,0.054419351,8.48E-05,4085,15000US360470164001,93,-1,30,-1,4085,15000US360470164001,189,48,0,11,0,11,0,11,17,26,0,11,6,8,0,11,13,13,5,9,7,9,25,20,43,34,34,27,6,9,21,16,12,12,94.24777961,706.8583471
467,0,467,1,467,1,15,467,,,,,,,,,,,,16400,1,3.60E+11,Block Group 1,G5030,S,797333,0,40.6081112,-74.0277291,15000US360470164001,0.054419351,8.48E-05,4085,15000US360470164001,93,-1,30,-1,4085,15000US360470164001,189,48,0,11,0,11,0,11,17,26,0,11,6,8,0,11,13,13,5,9,7,9,25,20,43,34,34,27,6,9,21,16,12,12,94.24777961,706.8583471
468,0,468,2,468,0,15,468,,,,,,,,,,,,5400,3,3.60E+11,Block Group 3,G5030,S,41602,0,40.6166,-74.0323044,15000US360470054003,0.008952103,4.43E-06,3826,15000US360470054003,104,-1,56,-1,3826,15000US360470054003,631,98,75,48,18,18,31,32,44,38,13,16,8,13,49,46,53,49,16,26,76,56,54,44,66,39,43,32,43,41,20,20,24,27,94.24777961,706.8583471
469,0,469,1,469,0,15,469,,,,,,,,,,,,16400,1,3.60E+11,Block Group 1,G5030,S,797333,0,40.6081112,-74.0277291,15000US360470164001,0.054419351,8.48E-05,4085,15000US360470164001,93,-1,30,-1,4085,15000US360470164001,189,48,0,11,0,11,0,11,17,26,0,11,6,8,0,11,13,13,5,9,7,9,25,20,43,34,34,27,6,9,21,16,12,12,94.24777961,706.8583471
470,0,470,1,470,1,15,470,,,,,,,,,,,,16400,1,3.60E+11,Block Group 1,G5030,S,797333,0,40.6081112,-74.0277291,15000US360470164001,0.054419351,8.48E-05,4085,15000US360470164001,93,-1,30,-1,4085,15000US360470164001,189,48,0,11,0,11,0,11,17,26,0,11,6,8,0,11,13,13,5,9,7,9,25,20,43,34,34,27,6,9,21,16,12,12,94.24777961,706.8583471
471,0,471,3,471,0,15,471,,,,,,,,,,,,16200,1,3.60E+11,Block Group 1,G5030,S,87131,0,40.6152304,-74.0292218,15000US360470162001,0.014603514,9.27E-06,4079,15000US360470162001,117,-1,60,-1,4079,15000US360470162001,645,94,53,49,25,27,29,33,33,29,24,24,34,28,27,29,36,37,17,17,52,38,55,46,68,43,64,46,22,22,68,40,41,26,94.24777961,706.8583471
472,0,472,2,472,0,15,472,,,,,,,,,,,,5800,1,3.60E+11,Block Group 1,G5030,S,60351,0,40.6194333,-74.0305308,15000US360470058001,0.011281986,6.42E-06,3832,15000US360470058001,72,-1,37,-1,3832,15000US360470058001,360,76,32,32,16,24,16,18,51,30,32,40,8,12,16,29,10,22,10,15,22,20,22,22,34,22,28,35,14,18,27,20,24,30,94.24777961,706.8583471
473,0,473,1,473,0,15,473,,,,,,,,,,,,3400,3,3.60E+11,Block Group 3,G5030,S,63683,0,40.6360139,-74.0344291,15000US360470034003,0.012593108,6.78E-06,3774,15000US360470034003,64,-1,33,-1,3774,15000US360470034003,436,90,7,12,28,25,14,22,68,71,0,11,14,17,0,11,0,11,0,11,41,32,8,11,83,69,54,47,53,42,45,43,21,33,94.24777961,706.8583471
474,0,474,1,474,0,15,474,,,,,,,,,,,,16400,1,3.60E+11,Block Group 1,G5030,S,797333,0,40.6081112,-74.0277291,15000US360470164001,0.054419351,8.48E-05,4085,15000US360470164001,93,-1,30,-1,4085,15000US360470164001,189,48,0,11,0,11,0,11,17,26,0,11,6,8,0,11,13,13,5,9,7,9,25,20,43,34,34,27,6,9,21,16,12,12,94.24777961,706.8583471
475,0,475,2,475,1,15,475,,,,,,,,,,,,16400,1,3.60E+11,Block Group 1,G5030,S,797333,0,40.6081112,-74.0277291,15000US360470164001,0.054419351,8.48E-05,4085,15000US360470164001,112,-1,46,-1,4085,15000US360470164001,390,70,41,34,0,11,7,13,13,20,8,16,8,12,6,12,16,22,12,14,12,15,50,40,54,34,64,40,15,16,30,20,53,26,94.24777961,706.8583471
476,0,476,3,476,0,15,476,,,,,,,,,,,,16200,1,3.60E+11,Block Group 1,G5030,S,87131,0,40.6152304,-74.0292218,15000US360470162001,0.014603514,9.27E-06,4079,15000US360470162001,117,-1,60,-1,4079,15000US360470162001,645,94,53,49,25,27,29,33,33,29,24,24,34,28,27,29,36,37,17,17,52,38,55,46,68,43,64,46,22,22,68,40,41,26,94.24777961,706.8583471
477,0,477,1,477,0,15,477,,,,,,,,,,,,16200,2,3.60E+11,Block Group 2,G5030,S,150743,0,40.6120605,-74.0326351,15000US360470162002,0.018442403,1.60E-05,4080,15000US360470162002,130,-1,62,-1,4080,15000US360470162002,590,93,82,56,0,11,14,15,9,13,17,20,10,15,13,14,20,31,18,19,18,21,74,61,64,35,93,54,24,22,40,24,94,40,94.24777961,706.8583471
478,0,478,2,478,0,15,478,,,,,,,,,,,,3400,2,3.60E+11,Block Group 2,G5030,S,65610,0,40.6373893,-74.0338086,15000US360470034002,0.012365801,6.98E-06,3773,15000US360470034002,82,-1,38,-1,3773,15000US360470034002,488,92,32,25,18,20,48,47,44,44,10,17,10,14,9,20,16,32,15,22,23,20,24,36,72,54,41,39,43,40,50,42,31,33,94.24777961,706.8583471
479,0,479,1,479,0,15,479,,,,,,,,,,,,3400,2,3.60E+11,Block Group 2,G5030,S,65610,0,40.6373893,-74.0338086,15000US360470034002,0.012365801,6.98E-06,3773,15000US360470034002,101,-1,44,-1,3773,15000US360470034002,539,94,57,38,9,14,81,72,19,18,21,23,6,11,18,28,33,52,30,32,5,9,40,60,62,38,28,31,33,38,56,42,41,33,94.24777961,706.8583471
480,0,480,1,480,0,15,480,,,,,,,,,,,,5800,2,3.60E+11,Block Group 2,G5030,S,95229,0,40.6183818,-74.0325939,15000US360470058002,0.015986844,1.01E-05,3833,15000US360470058002,118,-1,64,-1,3833,15000US360470058002,765,110,73,46,28,24,38,41,61,54,16,17,8,13,33,38,59,57,32,40,76,60,78,63,98,53,66,41,48,50,25,23,26,27,94.24777961,706.8583471
481,0,481,1,481,0,15,481,,,,,,,,,,,,6000,2,3.60E+11,Block Group 2,G5030,S,54936,0,40.6211497,-74.0314615,15000US360470060002,0.014628717,5.85E-06,3838,15000US360470060002,106,-1,43,-1,3838,15000US360470060002,512,78,83,55,40,48,13,14,0,11,12,13,0,11,25,22,9,14,31,38,31,37,19,30,56,48,39,28,58,42,3,9,93,68,94.24777961,706.8583471
482,0,482,1,482,0,15,482,,,,,,,,,,,,3400,2,3.60E+11,Block Group 2,G5030,S,65610,0,40.6373893,-74.0338086,15000US360470034002,0.012365801,6.98E-06,3773,15000US360470034002,101,-1,44,-1,3773,15000US360470034002,539,94,57,38,9,14,81,72,19,18,21,23,6,11,18,28,33,52,30,32,5,9,40,60,62,38,28,31,33,38,56,42,41,33,94.24777961,706.8583471
483,0,483,2,483,0,15,483,,,,,,,,,,,,4400,1,3.60E+11,Block Group 1,G5030,S,298993,0,40.6310418,-74.03732,15000US360470044001,0.023261956,3.18E-05,3794,15000US360470044001,191,-1,78,-1,3794,15000US360470044001,488,58,4,10,15,12,20,20,13,22,3,10,14,11,16,15,22,16,2,9,34,28,56,31,53,28,68,40,24,18,60,25,86,36,94.24777961,706.8583471
484,0,484,1,484,1,15,484,,,,,,,,,,,,16400,1,3.60E+11,Block Group 1,G5030,S,797333,0,40.6081112,-74.0277291,15000US360470164001,0.054419351,8.48E-05,4085,15000US360470164001,93,-1,30,-1,4085,15000US360470164001,189,48,0,11,0,11,0,11,17,26,0,11,6,8,0,11,13,13,5,9,7,9,25,20,43,34,34,27,6,9,21,16,12,12,94.24777961,706.8583471
485,0,485,1,485,2,15,485,,,,,,,,,,,,16400,1,3.60E+11,Block Group 1,G5030,S,797333,0,40.6081112,-74.0277291,15000US360470164001,0.054419351,8.48E-05,4085,15000US360470164001,93,-1,30,-1,4085,15000US360470164001,189,48,0,11,0,11,0,11,17,26,0,11,6,8,0,11,13,13,5,9,7,9,25,20,43,34,34,27,6,9,21,16,12,12,94.24777961,706.8583471
486,0,486,2,486,0,15,486,,,,,,,,,,,,5400,3,3.60E+11,Block Group 3,G5030,S,41602,0,40.6166,-74.0323044,15000US360470054003,0.008952103,4.43E-06,3826,15000US360470054003,104,-1,56,-1,3826,15000US360470054003,631,98,75,48,18,18,31,32,44,38,13,16,8,13,49,46,53,49,16,26,76,56,54,44,66,39,43,32,43,41,20,20,24,27,94.24777961,706.8583471
487,0,487,2,487,0,15,487,,,,,,,,,,,,5800,1,3.60E+11,Block Group 1,G5030,S,60351,0,40.6194333,-74.0305308,15000US360470058001,0.011281986,6.42E-06,3832,15000US360470058001,72,-1,37,-1,3832,15000US360470058001,360,76,32,32,16,24,16,18,51,30,32,40,8,12,16,29,10,22,10,15,22,20,22,22,34,22,28,35,14,18,27,20,24,30,94.24777961,706.8583471
488,0,488,2,488,1,15,488,,,,,,,,,,,,16400,1,3.60E+11,Block Group 1,G5030,S,797333,0,40.6081112,-74.0277291,15000US360470164001,0.054419351,8.48E-05,4085,15000US360470164001,112,-1,46,-1,4085,15000US360470164001,390,70,41,34,0,11,7,13,13,20,8,16,8,12,6,12,16,22,12,14,12,15,50,40,54,34,64,40,15,16,30,20,53,26,94.24777961,706.8583471
489,0,489,2,489,2,15,489,,,,,,,,,,,,16400,1,3.60E+11,Block Group 1,G5030,S,797333,0,40.6081112,-74.0277291,15000US360470164001,0.054419351,8.48E-05,4085,15000US360470164001,112,-1,46,-1,4085,15000US360470164001,390,70,41,34,0,11,7,13,13,20,8,16,8,12,6,12,16,22,12,14,12,15,50,40,54,34,64,40,15,16,30,20,53,26,94.24777961,706.8583471
490,0,490,1,490,0,15,490,,,,,,,,,,,,5800,2,3.60E+11,Block Group 2,G5030,S,95229,0,40.6183818,-74.0325939,15000US360470058002,0.015986844,1.01E-05,3833,15000US360470058002,118,-1,64,-1,3833,15000US360470058002,765,110,73,46,28,24,38,41,61,54,16,17,8,13,33,38,59,57,32,40,76,60,78,63,98,53,66,41,48,50,25,23,26,27,94.24777961,706.8583471
491,1,491,2,491,0,15,491,10/24/14 0:00,7:30,BROOKLYN,11209,40.62633,-74.0328329,"(40.62633, -74.0328329)",RIDGE BOULEVARD,83 STREET, ,1,4600,1,3.60E+11,Block Group 1,G5030,S,289094,0,40.6269928,-74.0363209,15000US360470046001,0.035983144,3.08E-05,3801,15000US360470046001,121,-1,50,-1,3801,15000US360470046001,344,48,5,10,3,10,2,10,8,14,0,11,28,22,14,15,3,10,4,10,13,18,18,18,80,36,18,18,14,13,71,34,64,36,94.24777961,706.8583471
492,0,492,2,492,0,15,492,,,,,,,,,,,,3400,2,3.60E+11,Block Group 2,G5030,S,65610,0,40.6373893,-74.0338086,15000US360470034002,0.012365801,6.98E-06,3773,15000US360470034002,84,-1,38,-1,3773,15000US360470034002,462,89,37,28,16,26,40,42,14,15,34,34,3,11,18,24,30,40,20,24,12,16,28,42,72,46,38,36,40,34,28,26,32,30,94.24777961,706.8583471
493,0,493,1,493,0,15,493,,,,,,,,,,,,3400,3,3.60E+11,Block Group 3,G5030,S,63683,0,40.6360139,-74.0344291,15000US360470034003,0.012593108,6.78E-06,3774,15000US360470034003,64,-1,33,-1,3774,15000US360470034003,436,90,7,12,28,25,14,22,68,71,0,11,14,17,0,11,0,11,0,11,41,32,8,11,83,69,54,47,53,42,45,43,21,33,94.24777961,706.8583471
494,0,494,2,494,0,15,494,,,,,,,,,,,,3400,2,3.60E+11,Block Group 2,G5030,S,65610,0,40.6373893,-74.0338086,15000US360470034002,0.012365801,6.98E-06,3773,15000US360470034002,84,-1,38,-1,3773,15000US360470034002,462,89,37,28,16,26,40,42,14,15,34,34,3,11,18,24,30,40,20,24,12,16,28,42,72,46,38,36,40,34,28,26,32,30,94.24777961,706.8583471
495,0,495,1,495,0,15,495,,,,,,,,,,,,16400,1,3.60E+11,Block Group 1,G5030,S,797333,0,40.6081112,-74.0277291,15000US360470164001,0.054419351,8.48E-05,4085,15000US360470164001,93,-1,30,-1,4085,15000US360470164001,189,48,0,11,0,11,0,11,17,26,0,11,6,8,0,11,13,13,5,9,7,9,25,20,43,34,34,27,6,9,21,16,12,12,94.24777961,706.8583471
496,0,496,1,496,1,15,496,,,,,,,,,,,,16400,1,3.60E+11,Block Group 1,G5030,S,797333,0,40.6081112,-74.0277291,15000US360470164001,0.054419351,8.48E-05,4085,15000US360470164001,93,-1,30,-1,4085,15000US360470164001,189,48,0,11,0,11,0,11,17,26,0,11,6,8,0,11,13,13,5,9,7,9,25,20,43,34,34,27,6,9,21,16,12,12,94.24777961,706.8583471
497,0,497,1,497,0,15,497,,,,,,,,,,,,3400,1,3.60E+11,Block Group 1,G5030,S,348106,0,40.6404176,-74.0334392,15000US360470034001,0.032384356,3.71E-05,3772,15000US360470034001,66,-1,33,-1,3772,15000US360470034001,385,84,17,19,23,37,0,11,8,12,46,46,0,11,17,19,26,28,11,17,20,23,15,24,81,55,49,40,48,29,0,11,24,28,94.24777961,706.8583471
498,0,498,3,498,0,15,498,,,,,,,,,,,,5800,1,3.60E+11,Block Group 1,G5030,S,60351,0,40.6194333,-74.0305308,15000US360470058001,0.011281986,6.42E-06,3832,15000US360470058001,84,-1,39,-1,3832,15000US360470058001,411,77,49,40,24,32,15,17,34,24,25,31,5,12,19,27,10,20,17,23,25,26,21,24,41,31,31,33,29,26,19,16,47,42,94.24777961,706.8583471
499,0,499,1,499,0,15,499,,,,,,,,,,,,16400,1,3.60E+11,Block Group 1,G5030,S,797333,0,40.6081112,-74.0277291,15000US360470164001,0.054419351,8.48E-05,4085,15000US360470164001,93,-1,30,-1,4085,15000US360470164001,189,48,0,11,0,11,0,11,17,26,0,11,6,8,0,11,13,13,5,9,7,9,25,20,43,34,34,27,6,9,21,16,12,12,94.24777961,706.8583471
500,0,500,2,500,0,15,500,,,,,,,,,,,,5400,3,3.60E+11,Block Group 3,G5030,S,41602,0,40.6166,-74.0323044,15000US360470054003,0.008952103,4.43E-06,3826,15000US360470054003,104,-1,56,-1,3826,15000US360470054003,631,98,75,48,18,18,31,32,44,38,13,16,8,13,49,46,53,49,16,26,76,56,54,44,66,39,43,32,43,41,20,20,24,27,94.24777961,706.8583471
501,0,501,1,501,2,15,501,,,,,,,,,,,,16400,1,3.60E+11,Block Group 1,G5030,S,797333,0,40.6081112,-74.0277291,15000US360470164001,0.054419351,8.48E-05,4085,15000US360470164001,93,-1,30,-1,4085,15000US360470164001,189,48,0,11,0,11,0,11,17,26,0,11,6,8,0,11,13,13,5,9,7,9,25,20,43,34,34,27,6,9,21,16,12,12,94.24777961,706.8583471
502,0,502,2,502,0,15,502,,,,,,,,,,,,6000,1,3.60E+11,Block Group 1,G5030,S,59658,0,40.6227647,-74.0308664,15000US360470060001,0.014132672,6.35E-06,3837,15000US360470060001,62,-1,30,-1,3837,15000US360470060001,297,72,21,20,14,22,25,24,22,26,0,11,4,12,8,13,10,13,6,12,33,30,47,36,14,15,30,30,4,13,11,16,48,41,94.24777961,706.8583471
503,0,503,1,503,0,15,503,,,,,,,,,,,,16200,2,3.60E+11,Block Group 2,G5030,S,150743,0,40.6120605,-74.0326351,15000US360470162002,0.018442403,1.60E-05,4080,15000US360470162002,130,-1,62,-1,4080,15000US360470162002,590,93,82,56,0,11,14,15,9,13,17,20,10,15,13,14,20,31,18,19,18,21,74,61,64,35,93,54,24,22,40,24,94,40,94.24777961,706.8583471
504,0,504,1,504,0,15,504,,,,,,,,,,,,16200,2,3.60E+11,Block Group 2,G5030,S,150743,0,40.6120605,-74.0326351,15000US360470162002,0.018442403,1.60E-05,4080,15000US360470162002,130,-1,62,-1,4080,15000US360470162002,590,93,82,56,0,11,14,15,9,13,17,20,10,15,13,14,20,31,18,19,18,21,74,61,64,35,93,54,24,22,40,24,94,40,94.24777961,706.8583471
505,0,505,1,505,0,15,505,,,,,,,,,,,,5800,2,3.60E+11,Block Group 2,G5030,S,95229,0,40.6183818,-74.0325939,15000US360470058002,0.015986844,1.01E-05,3833,15000US360470058002,118,-1,64,-1,3833,15000US360470058002,765,110,73,46,28,24,38,41,61,54,16,17,8,13,33,38,59,57,32,40,76,60,78,63,98,53,66,41,48,50,25,23,26,27,94.24777961,706.8583471
506,0,506,4,506,0,15,506,,,,,,,,,,,,3800,1,3.60E+11,Block Group 1,G5030,S,127478,0,40.6344225,-74.0357544,15000US360470038001,0.016921891,1.36E-05,3782,15000US360470038001,176,-1,76,-1,3782,15000US360470038001,550,66,14,19,11,12,18,20,12,16,29,28,23,23,12,14,15,16,19,20,28,23,56,32,64,34,72,39,26,18,63,38,87,46,94.24777961,706.8583471
507,0,507,2,507,0,15,507,,,,,,,,,,,,5800,1,3.60E+11,Block Group 1,G5030,S,60351,0,40.6194333,-74.0305308,15000US360470058001,0.011281986,6.42E-06,3832,15000US360470058001,100,-1,46,-1,3832,15000US360470058001,492,80,74,54,26,31,16,18,34,22,21,26,4,11,28,34,4,12,20,26,37,34,18,24,59,42,32,28,34,28,26,20,60,52,94.24777961,706.8583471
508,0,508,3,508,0,15,508,,,,,,,,,,,,5400,3,3.60E+11,Block Group 3,G5030,S,41602,0,40.6166,-74.0323044,15000US360470054003,0.008952103,4.43E-06,3826,15000US360470054003,104,-1,55,-1,3826,15000US360470054003,614,91,51,47,28,28,32,35,39,32,22,23,33,28,44,42,45,40,11,14,71,48,40,34,58,40,40,35,27,26,59,37,17,21,94.24777961,706.8583471
509,0,509,2,509,0,15,509,,,,,,,,,,,,5400,3,3.60E+11,Block Group 3,G5030,S,41602,0,40.6166,-74.0323044,15000US360470054003,0.008952103,4.43E-06,3826,15000US360470054003,104,-1,56,-1,3826,15000US360470054003,631,98,75,48,18,18,31,32,44,38,13,16,8,13,49,46,53,49,16,26,76,56,54,44,66,39,43,32,43,41,20,20,24,27,94.24777961,706.8583471
510,1,510,2,510,0,15,510,1/1/16 0:00,14:30,BROOKLYN,11209,40.6270108,-74.0325559,"(40.6270108, -74.0325559)",RIDGE BOULEVARD,82 STREET, ,1,4600,1,3.60E+11,Block Group 1,G5030,S,289094,0,40.6269928,-74.0363209,15000US360470046001,0.035983144,3.08E-05,3801,15000US360470046001,121,-1,50,-1,3801,15000US360470046001,344,48,5,10,3,10,2,10,8,14,0,11,28,22,14,15,3,10,4,10,13,18,18,18,80,36,18,18,14,13,71,34,64,36,94.24777961,706.8583471
511,0,511,1,511,0,15,511,,,,,,,,,,,,4400,2,3.60E+11,Block Group 2,G5030,S,120490,0,40.6302376,-74.0327057,15000US360470044002,0.014931448,1.28E-05,3795,15000US360470044002,175,-1,82,-1,3795,15000US360470044002,534,66,8,9,18,12,27,26,26,32,6,9,18,12,7,11,36,23,0,11,29,22,66,33,64,31,101,57,10,10,52,23,66,32,94.24777961,706.8583471
512,0,512,1,512,0,15,512,,,,,,,,,,,,16400,1,3.60E+11,Block Group 1,G5030,S,797333,0,40.6081112,-74.0277291,15000US360470164001,0.054419351,8.48E-05,4085,15000US360470164001,93,-1,30,-1,4085,15000US360470164001,189,48,0,11,0,11,0,11,17,26,0,11,6,8,0,11,13,13,5,9,7,9,25,20,43,34,34,27,6,9,21,16,12,12,94.24777961,706.8583471
513,0,513,1,513,0,15,513,,,,,,,,,,,,16400,1,3.60E+11,Block Group 1,G5030,S,797333,0,40.6081112,-74.0277291,15000US360470164001,0.054419351,8.48E-05,4085,15000US360470164001,93,-1,30,-1,4085,15000US360470164001,189,48,0,11,0,11,0,11,17,26,0,11,6,8,0,11,13,13,5,9,7,9,25,20,43,34,34,27,6,9,21,16,12,12,94.24777961,706.8583471
514,0,514,2,514,1,15,514,,,,,,,,,,,,16400,1,3.60E+11,Block Group 1,G5030,S,797333,0,40.6081112,-74.0277291,15000US360470164001,0.054419351,8.48E-05,4085,15000US360470164001,112,-1,46,-1,4085,15000US360470164001,390,70,41,34,0,11,7,13,13,20,8,16,8,12,6,12,16,22,12,14,12,15,50,40,54,34,64,40,15,16,30,20,53,26,94.24777961,706.8583471
515,0,515,1,515,0,15,515,,,,,,,,,,,,16200,2,3.60E+11,Block Group 2,G5030,S,150743,0,40.6120605,-74.0326351,15000US360470162002,0.018442403,1.60E-05,4080,15000US360470162002,130,-1,62,-1,4080,15000US360470162002,590,93,82,56,0,11,14,15,9,13,17,20,10,15,13,14,20,31,18,19,18,21,74,61,64,35,93,54,24,22,40,24,94,40,94.24777961,706.8583471
516,0,516,2,516,0,15,516,,,,,,,,,,,,5400,3,3.60E+11,Block Group 3,G5030,S,41602,0,40.6166,-74.0323044,15000US360470054003,0.008952103,4.43E-06,3826,15000US360470054003,104,-1,56,-1,3826,15000US360470054003,631,98,75,48,18,18,31,32,44,38,13,16,8,13,49,46,53,49,16,26,76,56,54,44,66,39,43,32,43,41,20,20,24,27,94.24777961,706.8583471
517,0,517,2,517,2,15,517,,,,,,,,,,,,16400,1,3.60E+11,Block Group 1,G5030,S,797333,0,40.6081112,-74.0277291,15000US360470164001,0.054419351,8.48E-05,4085,15000US360470164001,112,-1,46,-1,4085,15000US360470164001,390,70,41,34,0,11,7,13,13,20,8,16,8,12,6,12,16,22,12,14,12,15,50,40,54,34,64,40,15,16,30,20,53,26,94.24777961,706.8583471
518,0,518,1,518,0,15,518,,,,,,,,,,,,6000,3,3.60E+11,Block Group 3,G5030,S,37666,0,40.6223651,-74.0329809,15000US360470060003,0.008457529,4.01E-06,3839,15000US360470060003,60,-1,27,-1,3839,15000US360470060003,309,75,23,22,0,11,26,27,39,45,0,11,0,11,7,12,7,11,0,11,0,11,70,48,20,17,36,31,0,11,22,22,59,54,94.24777961,706.8583471
519,0,519,2,519,0,15,519,,,,,,,,,,,,3800,1,3.60E+11,Block Group 1,G5030,S,127478,0,40.6344225,-74.0357544,15000US360470038001,0.016921891,1.36E-05,3782,15000US360470038001,161,-1,74,-1,3782,15000US360470038001,612,73,25,28,7,11,17,20,10,11,56,47,32,36,8,12,9,16,35,32,22,18,56,32,75,40,76,39,28,17,67,50,89,58,94.24777961,706.8583471
520,0,520,2,520,0,15,520,,,,,,,,,,,,6000,2,3.60E+11,Block Group 2,G5030,S,54936,0,40.6211497,-74.0314615,15000US360470060002,0.014628717,5.85E-06,3838,15000US360470060002,83,-1,35,-1,3838,15000US360470060002,410,76,53,38,20,30,20,20,20,28,6,12,0,11,16,17,8,12,16,24,16,24,44,39,38,32,38,30,29,26,12,16,76,61,94.24777961,706.8583471
521,0,521,1,521,0,15,521,,,,,,,,,,,,3400,2,3.60E+11,Block Group 2,G5030,S,65610,0,40.6373893,-74.0338086,15000US360470034002,0.012365801,6.98E-06,3773,15000US360470034002,101,-1,44,-1,3773,15000US360470034002,539,94,57,38,9,14,81,72,19,18,21,23,6,11,18,28,33,52,30,32,5,9,40,60,62,38,28,31,33,38,56,42,41,33,94.24777961,706.8583471
522,0,522,1,522,1,15,522,,,,,,,,,,,,16400,1,3.60E+11,Block Group 1,G5030,S,797333,0,40.6081112,-74.0277291,15000US360470164001,0.054419351,8.48E-05,4085,15000US360470164001,93,-1,30,-1,4085,15000US360470164001,189,48,0,11,0,11,0,11,17,26,0,11,6,8,0,11,13,13,5,9,7,9,25,20,43,34,34,27,6,9,21,16,12,12,94.24777961,706.8583471
523,0,523,1,523,0,15,523,,,,,,,,,,,,5800,2,3.60E+11,Block Group 2,G5030,S,95229,0,40.6183818,-74.0325939,15000US360470058002,0.015986844,1.01E-05,3833,15000US360470058002,118,-1,64,-1,3833,15000US360470058002,765,110,73,46,28,24,38,41,61,54,16,17,8,13,33,38,59,57,32,40,76,60,78,63,98,53,66,41,48,50,25,23,26,27,94.24777961,706.8583471
524,0,524,1,524,0,15,524,,,,,,,,,,,,3400,1,3.60E+11,Block Group 1,G5030,S,348106,0,40.6404176,-74.0334392,15000US360470034001,0.032384356,3.71E-05,3772,15000US360470034001,66,-1,33,-1,3772,15000US360470034001,385,84,17,19,23,37,0,11,8,12,46,46,0,11,17,19,26,28,11,17,20,23,15,24,81,55,49,40,48,29,0,11,24,28,94.24777961,706.8583471
525,0,525,1,525,0,15,525,,,,,,,,,,,,3800,1,3.60E+11,Block Group 1,G5030,S,127478,0,40.6344225,-74.0357544,15000US360470038001,0.016921891,1.36E-05,3782,15000US360470038001,220,-1,102,-1,3782,15000US360470038001,667,46,10,12,5,8,26,28,14,12,41,31,17,26,6,10,18,21,51,43,22,17,66,42,102,45,98,48,49,21,53,34,89,44,94.24777961,706.8583471
526,0,526,1,526,0,15,526,,,,,,,,,,,,3400,3,3.60E+11,Block Group 3,G5030,S,63683,0,40.6360139,-74.0344291,15000US360470034003,0.012593108,6.78E-06,3774,15000US360470034003,64,-1,33,-1,3774,15000US360470034003,436,90,7,12,28,25,14,22,68,71,0,11,14,17,0,11,0,11,0,11,41,32,8,11,83,69,54,47,53,42,45,43,21,33,94.24777961,706.8583471
527,0,527,1,527,0,15,527,,,,,,,,,,,,16400,1,3.60E+11,Block Group 1,G5030,S,797333,0,40.6081112,-74.0277291,15000US360470164001,0.054419351,8.48E-05,4085,15000US360470164001,93,-1,30,-1,4085,15000US360470164001,189,48,0,11,0,11,0,11,17,26,0,11,6,8,0,11,13,13,5,9,7,9,25,20,43,34,34,27,6,9,21,16,12,12,94.24777961,706.8583471
528,0,528,2,528,0,15,528,,,,,,,,,,,,16400,1,3.60E+11,Block Group 1,G5030,S,797333,0,40.6081112,-74.0277291,15000US360470164001,0.054419351,8.48E-05,4085,15000US360470164001,112,-1,46,-1,4085,15000US360470164001,390,70,41,34,0,11,7,13,13,20,8,16,8,12,6,12,16,22,12,14,12,15,50,40,54,34,64,40,15,16,30,20,53,26,94.24777961,706.8583471
